manufacturer,spec,usecase,speed,ramtiming,model,xmp,color,rgb,image_url
TEAMGROUP,DDR4,데스크탑용,3200,CL22,ELITE 서린,False,,False,https://img.danawa.com/prod_img/500000/467/907/img/14907467_1.jpg?shrink=130:130&_v=20240131180344
TEAMGROUP,DDR5,데스크탑용,5600,CL36,T-FORCE VULCAN 서린,True,BLACK,False,https://img.danawa.com/prod_img/500000/076/613/img/18613076_1.jpg?shrink=130:130&_v=20231030130302
G.SKILL,DDR5,데스크탑용,5200,CL40,RIPJAWS S5 J,True,BLACK,False,https://img.danawa.com/prod_img/500000/169/103/img/54103169_1.jpg?shrink=130:130&_v=20240521130318
TEAMGROUP,DDR5,데스크탑용,8000,CL38,T-FORCE XTREEM A 서린,True,,True,https://img.danawa.com/prod_img/500000/039/101/img/54101039_1.jpg?shrink=130:130&_v=20240603132628
OLOY,DDR5,데스크탑용,6400,CL32,BLADE MIRROR 올로이앤코,False,,True,https://img.danawa.com/prod_img/500000/867/649/img/19649867_1.jpg?shrink=130:130&_v=20240129154641
G.SKILL,DDR5,데스크탑용,6000,CL30,RIPJAWS S5 J,True,WHITE,False,https://img.danawa.com/prod_img/500000/741/000/img/17000741_1.jpg?shrink=130:130&_v=20220509131032
G.SKILL,DDR4,데스크탑용,3200,CL16,AEGIS,True,,False,https://img.danawa.com/prod_img/500000/742/593/img/9593742_1.jpg?shrink=130:130&_v=20231113182416
G.SKILL,DDR5,데스크탑용,6000,CL36,FLARE X5 J,False,,False,https://img.danawa.com/prod_img/500000/533/931/img/17931533_1.jpg?shrink=130:130&_v=20221005102213
ADATA,DDR5,데스크탑용,6000,CL30,XPG LANCER,True,BLACK,True,https://img.danawa.com/prod_img/500000/519/235/img/19235519_1.jpg?shrink=130:130&_v=20240315180558
PATRIOT,DDR5,데스크탑용,6000,CL42,VIPER ELITE 5,True,,True,https://img.danawa.com/prod_img/500000/066/500/img/30500066_1.jpg?shrink=130:130&_v=20231213095920
ESSENCORE,DDR5,데스크탑용,7200,CL34,KLEVV CRAS V 서린,True,,True,https://img.danawa.com/prod_img/500000/676/886/img/27886676_1.jpg?shrink=130:130&_v=20231116130549
ADATA,DDR5,데스크탑용,6000,CL30,XPG LANCER BLADE,True,WHITE,True,https://img.danawa.com/prod_img/500000/618/785/img/27785618_1.jpg?shrink=130:130&_v=20240405111059
TEAMGROUP,DDR5,데스크탑용,5200,CL42,ELITE PLUS 서린,False,BLACK,False,https://img.danawa.com/prod_img/500000/630/767/img/18767630_1.jpg?shrink=130:130&_v=20230116145449
TEAMGROUP,DDR5,데스크탑용,6000,CL30,T-CREATE EXPERT 서린,True,,False,https://img.danawa.com/prod_img/500000/438/546/img/20546438_1.jpg?shrink=130:130&_v=20230614171504
G.SKILL,DDR5,데스크탑용,7200,CL34,TRIDENT Z5 J,True,,True,https://img.danawa.com/prod_img/500000/653/036/img/18036653_1.jpg?shrink=130:130&_v=20221019083439
